year day bgsex bgsey bgsez
2019 48 3.266 2.427 -1.719
2019 48 3.199 2.567 -1.484
2019 48 3.429 1.769 -0.572
2019 48 3.697 1.779 -0.723
2019 48 3.753 1.743 -0.720
2019 48 3.760 1.626 -0.923
2019 48 3.733 1.534 -1.252
2019 48 3.681 1.426 -0.928
2019 48 3.328 1.062 -0.730
2019 48 2.497 -0.507 -2.116
2019 48 2.352 -0.499 -2.262
2019 48 2.526 -0.179 -1.914
2019 48 2.760 -0.612 -1.437
2019 48 3.124 -0.466 -1.396
2019 48 3.261 -0.109 -1.370
2019 48 3.023 -0.397 -1.567
2019 48 3.168 -0.589 -1.189
2019 48 3.246 -0.649 -1.005
2019 48 3.846 0.495 -1.913
2019 48 4.321 0.101 -1.597
2019 48 4.411 -0.098 -1.442
2019 48 4.216 -0.105 -1.219
2019 48 4.193 -0.065 -0.833
2019 48 4.191 -0.049 -0.722
2019 48 4.278 -0.059 -0.606
2019 48 4.181 -0.015 -0.618
2019 48 4.262 0.049 -0.164
2019 48 4.240 0.018 -0.492
2019 48 4.264 -0.050 -0.862
2019 48 4.266 -0.029 -0.992
2019 48 4.323 -0.221 -1.045
2019 48 4.290 -0.147 -1.098
2019 48 4.302 -0.001 -0.998
2019 48 4.143 1.629 -0.952
2019 48 4.064 1.674 -1.039
2019 48 4.216 1.689 -1.005
2019 48 4.129 1.581 -0.962
2019 48 4.147 1.497 -1.037
2019 48 3.973 1.308 -1.466
2019 48 3.901 1.434 -1.412
2019 48 3.986 1.507 -1.256
2019 48 4.108 1.446 -0.958
2019 48 4.169 1.477 -0.819
2019 48 4.199 1.671 -0.745
2019 48 3.932 2.093 -0.387
2019 48 3.868 1.938 -0.948
2019 48 3.467 2.270 -1.035
2019 48 3.512 2.357 -1.100
2019 48 3.547 2.219 -1.085
2019 48 3.838 1.928 -0.782
2019 48 3.936 1.936 -0.543
2019 48 4.162 1.299 -0.584
2019 48 4.238 0.997 -0.587
2019 48 4.223 0.448 -0.813
2019 48 4.143 0.516 -0.953
2019 48 4.021 0.578 -0.994
2019 48 4.042 0.634 -0.873
2019 48 4.054 0.801 -0.897
2019 48 4.037 0.610 -0.670
2019 48 3.999 0.617 -0.662
2019 48 4.066 0.591 -0.580
2019 48 4.111 0.538 -0.534
2019 48 4.078 0.505 -0.600
2019 48 4.096 0.580 -0.665
2019 48 4.116 0.569 -0.544
2019 48 4.066 0.746 -0.504
2019 48 4.080 0.893 -0.606
2019 48 4.061 0.805 -0.497
2019 48 4.043 0.781 -0.518
2019 48 4.042 0.827 -0.633
2019 48 4.098 0.834 -0.665
2019 48 4.094 0.771 -0.595
2019 48 4.149 0.604 -0.553
2019 48 4.147 0.733 -0.594
2019 48 4.092 0.638 -0.430
2019 48 3.997 0.654 -0.624
2019 48 3.974 0.610 -0.617
2019 48 4.028 0.456 -0.445
2019 48 3.810 0.552 -0.982
2019 48 3.659 0.911 -1.269
2019 48 3.643 0.956 -1.151
2019 48 3.502 0.939 -1.527
2019 48 3.585 0.895 -1.308
2019 48 3.515 0.944 -1.470
2019 48 3.506 1.127 -1.431
2019 48 3.372 1.388 -1.701
2019 48 3.475 1.161 -1.488
2019 48 3.699 0.950 -1.070
2019 48 3.752 0.987 -1.037
2019 48 3.807 0.823 -0.890
2019 48 3.820 0.707 -0.818
2019 48 3.572 1.318 -1.055
2019 48 3.709 1.166 -0.909
2019 48 3.726 0.980 -0.903
2019 48 3.797 1.045 -0.801
2019 48 3.911 0.705 -0.804
2019 48 3.886 0.992 -0.872
2019 48 3.846 1.244 -0.872
